,year,month,state,data_status,residential_revenue_thousand_dollars,residential_sales_megawatthours,residential_customers_count,residential_price_cents_kwh,commercial_revenue_thousand_dollars,commercial_sales_megawatthours,commercial_customers_count,commercial_price_cents_kwh,industrial_revenue_thousand_dollars,industrial_sales_megawatthours,industrial_customers_count,industrial_price_cents_kwh,transportation_revenue_thousand_dollars,transportation_sales_megawatthours,transportation_customers_count,transportation_price_cents_kwh,total_revenue_thousand_dollars,total_sales_megawatthours,total_customers_count,total_price_cents_kwh
4684,2018,2.0,TX,Final,1264726.8,11633360.0,11071113.0,10.87,849397.05,9931431.1,1567782.0,8.55,487846.11,9190763.2,121488.0,5.31,1223.62,14675.0,3.0,8.34,2603193.6,30770230.0,12760386.0,8.46
4735,2018,1.0,TX,Final,1638007.6,15416270.0,11046027.0,10.63,981803.17,12045170.0,1593093.0,8.15,532540.99,9683036.2,122678.0,5.5,1227.36,14831.0,3.0,8.28,3153579.1,37159308.0,12761801.0,8.49
4786,2017,12.0,TX,Final,1156476.6,10619140.0,10832439.0,10.89,845487.34,10465944.0,1507041.0,8.08,519314.78,10149483.0,113778.0,5.12,1214.52,14641.07,3.0,8.3,2522493.2,31249208.0,12453261.0,8.07
4837,2017,11.0,TX,Final,1025727.2,9133561.6,10849463.0,11.23,851897.14,10256815.0,1516387.0,8.31,507973.48,9826149.8,114018.0,5.17,1320.15,16418.07,3.0,8.04,2386918.0,29232944.0,12479871.0,8.17
4888,2017,10.0,TX,Final,1363944.1,12300938.0,10902252.0,11.09,1001577.2,12306559.0,1523194.0,8.14,547484.42,10289696.0,114605.0,5.32,1307.01,16483.1,3.0,7.93,2914312.7,34913676.0,12540054.0,8.35
4939,2017,9.0,TX,Final,1599124.8,14378611.0,10821001.0,11.12,1043712.1,12784460.0,1511813.0,8.16,542281.41,9982187.6,115475.0,5.43,1281.35,16066.09,3.0,7.98,3186399.6,37161324.0,12448292.0,8.57
4990,2017,8.0,TX,Final,1882305.4,17184478.0,10882647.0,10.95,1115591.4,13652802.0,1521867.0,8.17,578328.98,10722965.0,118211.0,5.39,1345.54,16978.1,3.0,7.93,3577571.3,41577224.0,12522728.0,8.6
5041,2017,7.0,TX,Final,1836262.8,16887299.0,10804116.0,10.87,1093761.9,13274866.0,1516979.0,8.24,587487.8,10635654.0,118269.0,5.52,1269.0,15556.1,3.0,8.16,3518781.5,40813375.0,12439367.0,8.62
5092,2017,6.0,TX,Final,1556300.7,14106725.0,10845046.0,11.03,1056190.0,12616140.0,1518149.0,8.37,573289.83,10556941.0,117343.0,5.43,1232.43,15197.1,3.0,8.11,3187012.9,37295003.0,12480541.0,8.55
5143,2017,5.0,TX,Final,1182299.8,10703466.0,10855798.0,11.05,963214.88,11650847.0,1519922.0,8.27,558103.04,10092868.0,116869.0,5.53,1189.97,14479.08,3.0,8.22,2704807.7,32461661.0,12492592.0,8.33
5194,2017,4.0,TX,Final,999461.51,9013567.2,10717328.0,11.09,829291.45,9994738.0,1499611.0,8.3,501316.15,9224025.5,113688.0,5.43,1185.97,14464.09,3.0,8.2,2331255.1,28246795.0,12330630.0,8.25
5245,2017,3.0,TX,Final,996982.2,8964729.1,10795636.0,11.12,864275.1,10391052.0,1518211.0,8.32,516345.89,9842905.7,113012.0,5.25,1125.98,13277.06,3.0,8.48,2378729.2,29211964.0,12426862.0,8.14
5296,2017,2.0,TX,Final,1004717.0,9005668.3,10671415.0,11.16,801890.19,9455409.4,1501929.0,8.48,470660.88,8882595.4,111829.0,5.3,1189.12,14132.07,3.0,8.41,2278457.2,27357805.0,12285176.0,8.33
5347,2017,1.0,TX,Final,1282765.7,11943948.0,10736711.0,10.74,885370.71,10636209.0,1521382.0,8.32,521666.95,9764670.6,111243.0,5.34,1204.97,14567.08,3.0,8.27,2691008.4,32359395.0,12369339.0,8.32
5398,2016,12.0,TX,Final,1143434.9,10539081.0,10567938.0,10.85,873211.16,10637841.0,1446080.0,8.21,500382.67,9421674.8,102795.0,5.31,1193.99,14498.0,3.0,8.24,2518222.7,30613095.0,12116816.0,8.23
5449,2016,11.0,TX,Final,1021554.4,9207046.6,10528626.0,11.1,884269.1,10743908.0,1446400.0,8.23,488635.68,9087031.7,103153.0,5.38,1356.07,16842.0,3.0,8.05,2395815.2,29054828.0,12078182.0,8.25
5500,2016,10.0,TX,Final,1338269.3,12149443.0,10593131.0,11.02,1013097.1,12140124.0,1454894.0,8.35,529523.98,9917373.8,103273.0,5.34,1279.65,16309.0,3.0,7.85,2882170.0,34223250.0,12151301.0,8.42
5551,2016,9.0,TX,Final,1712855.4,15412977.0,10556814.0,11.11,1103290.0,13398848.0,1452614.0,8.23,538024.01,9739354.8,104592.0,5.52,1255.53,16406.0,2.0,7.65,3355424.9,38567586.0,12114022.0,8.7
5602,2016,8.0,TX,Final,1931338.1,17705208.0,10578202.0,10.91,1164029.7,14327566.0,1454155.0,8.12,549645.64,10090050.0,106305.0,5.45,1318.49,17269.0,3.0,7.64,3646332.0,42140094.0,12138665.0,8.65
5653,2016,7.0,TX,Final,1907836.1,17614425.0,10491047.0,10.83,1092646.4,13438671.0,1443019.0,8.13,542400.61,9909671.0,107325.0,5.47,1196.87,15470.0,2.0,7.74,3544080.0,40978236.0,12041393.0,8.65
5704,2016,6.0,TX,Final,1499841.3,13698760.0,10529597.0,10.95,1035535.2,12479538.0,1450167.0,8.3,514938.81,9543289.5,107920.0,5.4,1151.7,14777.0,3.0,7.79,3051467.1,35736365.0,12087687.0,8.54
5755,2016,5.0,TX,Final,1105540.2,9964081.1,10520385.0,11.1,904594.43,10956524.0,1444900.0,8.26,483394.25,9270078.9,108243.0,5.21,1134.99,14189.0,3.0,8.0,2494663.8,30204873.0,12073531.0,8.26
5806,2016,4.0,TX,Final,955167.95,8486355.6,10491523.0,11.26,840700.73,10222568.0,1445430.0,8.22,466639.83,9116787.0,104120.0,5.12,1139.25,14139.0,3.0,8.06,2263647.8,27839850.0,12041076.0,8.13
5857,2016,3.0,TX,Final,978244.46,8743346.7,10500894.0,11.19,853632.82,10191057.0,1444498.0,8.38,477605.74,9139628.1,104216.0,5.23,1098.99,13545.0,3.0,8.11,2310582.0,28087577.0,12049611.0,8.23
5908,2016,2.0,TX,Final,1138747.7,10363055.0,10487116.0,10.99,835150.7,9947190.4,1448218.0,8.4,455813.04,8750485.3,104771.0,5.21,1129.99,14063.0,3.0,8.04,2430841.5,29074793.0,12040108.0,8.36
5959,2016,1.0,TX,Final,1315488.7,12089402.0,10415500.0,10.88,883608.1,10620439.0,1436454.0,8.32,494595.86,9417287.7,109983.0,5.25,1129.49,14134.0,3.0,7.99,2694822.1,32141262.0,11961940.0,8.38
6010,2015,12.0,TX,Final,1126580.9,10065340.0,10369964.0,11.19,795591.0,10084768.0,1433646.0,7.89,478455.99,9049900.2,108176.0,5.29,758.38,14001.0,3.0,5.42,2401386.3,29214009.0,11911789.0,8.22
6061,2015,11.0,TX,Final,955271.07,8391003.1,10303085.0,11.38,795773.83,10009089.0,1421366.0,7.95,460439.09,8809431.3,108503.0,5.23,866.97,15963.0,3.0,5.43,2212351.0,27225486.0,11832957.0,8.13
6112,2015,10.0,TX,Final,1324545.0,11673440.0,10387765.0,11.35,957816.15,12098295.0,1435735.0,7.92,520831.39,9791553.7,109618.0,5.32,873.96,16577.0,3.0,5.27,2804066.5,33579866.0,11933121.0,8.35
6163,2015,9.0,TX,Final,1729972.7,15031761.0,10351037.0,11.51,1038316.9,12797169.0,1434288.0,8.11,539500.28,9747825.8,108020.0,5.53,849.96,16165.0,3.0,5.26,3308639.8,37592920.0,11893348.0,8.8
6214,2015,8.0,TX,Final,1988601.4,17396111.0,10369597.0,11.43,1097237.8,13519971.0,1435671.0,8.12,568343.45,9789559.4,108766.0,5.81,871.95,16448.0,3.0,5.3,3655054.6,40722089.0,11914037.0,8.98
6265,2015,7.0,TX,Final,1920725.4,16701294.0,10343501.0,11.5,1075270.6,13316794.0,1435907.0,8.07,579052.27,10140124.0,108834.0,5.71,835.93,15683.0,3.0,5.33,3575884.3,40173894.0,11888245.0,8.9
6316,2015,6.0,TX,Final,1530591.2,12990159.0,10347811.0,11.78,997484.64,12081412.0,1423118.0,8.26,539658.11,9635010.4,107616.0,5.6,787.95,14747.0,3.0,5.34,3068521.9,34721328.0,11878548.0,8.84
6367,2015,5.0,TX,Final,1146288.4,9523397.5,10288519.0,12.04,868980.21,10588546.0,1411987.0,8.21,507118.35,9122377.7,105413.0,5.56,742.97,13915.0,3.0,5.34,2523129.9,29248236.0,11805922.0,8.63
6418,2015,4.0,TX,Final,1031854.0,8528280.9,10302930.0,12.1,840645.7,10540044.0,1417183.0,7.98,491408.65,8870685.2,104227.0,5.54,745.95,13966.0,3.0,5.34,2364654.3,27952976.0,11824343.0,8.46
6469,2015,3.0,TX,Final,1286079.4,11122515.0,10292791.0,11.56,895831.99,10548752.0,1421352.0,8.49,502203.27,8667546.2,102666.0,5.79,725.96,13569.0,3.0,5.35,2684840.7,30352382.0,11816812.0,8.85
6520,2015,2.0,TX,Final,1276483.8,10984753.0,10222635.0,11.62,842244.33,9903836.3,1414177.0,8.5,471330.29,8076963.6,101493.0,5.84,791.07,14819.0,3.0,5.34,2590849.5,28980372.0,11738308.0,8.94
6571,2015,1.0,TX,Final,1521441.1,13243860.0,10236358.0,11.49,910066.98,10834887.0,1424841.0,8.4,502678.96,8481287.8,97914.0,5.93,733.96,13761.0,3.0,5.33,2934921.0,32573796.0,11759116.0,9.01
6622,2014,12.0,TX,Final,1204663.6,10200425.0,10215771.0,11.81,855428.55,10653380.0,1446091.0,8.03,544621.31,8715709.8,104665.0,6.25,694.1,12881.24,3.0,5.39,2605407.5,29582396.0,11766530.0,8.81
6673,2014,11.0,TX,Final,1056192.5,8813129.0,10099159.0,11.98,841562.13,10168187.0,1424779.0,8.28,530636.01,8779526.8,104135.0,6.04,834.82,15551.02,3.0,5.37,2429225.5,27776394.0,11628076.0,8.75
6724,2014,10.0,TX,Final,1325726.1,10981723.0,10216731.0,12.07,1008145.5,12361473.0,1446429.0,8.16,578581.02,9204618.4,105348.0,6.29,770.7,15912.88,3.0,4.84,2913223.3,32563728.0,11768511.0,8.95
6775,2014,9.0,TX,Final,1762430.5,14647866.0,10200643.0,12.03,1106720.1,13771502.0,1443103.0,8.04,583717.93,9288558.7,105581.0,6.28,814.87,15775.79,3.0,5.17,3453683.4,37723702.0,11749330.0,9.16
6826,2014,8.0,TX,Final,1876930.8,15573035.0,10183263.0,12.05,1100371.2,13491431.0,1441404.0,8.16,617690.1,9683332.0,107082.0,6.38,788.96,15281.38,3.0,5.16,3595781.1,38763079.0,11731752.0,9.28
6877,2014,7.0,TX,Final,1817437.7,15087208.0,10163359.0,12.05,1093809.3,13270061.0,1443105.0,8.24,616639.08,9444451.0,106977.0,6.53,727.06,14050.81,3.0,5.17,3528613.1,37815771.0,11713444.0,9.33
6928,2014,6.0,TX,Final,1564816.2,12861137.0,10077384.0,12.17,1038979.2,12571521.0,1414573.0,8.26,586896.48,9260108.2,95801.0,6.34,742.98,14480.63,3.0,5.13,3191434.8,34707247.0,11587761.0,9.2
6979,2014,5.0,TX,Final,1114803.5,9345756.3,10102754.0,11.93,921256.59,11272891.0,1433415.0,8.17,554786.57,9676773.9,103157.0,5.73,707.54,13698.38,3.0,5.17,2591554.2,30309120.0,11639329.0,8.55
7030,2014,4.0,TX,Final,988965.41,8199586.4,10094064.0,12.06,835615.3,10173132.0,1428455.0,8.21,554574.43,9461318.7,97393.0,5.86,668.48,12897.18,3.0,5.18,2379823.6,27846934.0,11619915.0,8.55
7081,2014,3.0,TX,Final,1152806.2,9811567.8,10134020.0,11.75,851817.94,10200148.0,1431339.0,8.35,545874.61,8983048.3,96541.0,6.08,659.21,12779.86,3.0,5.16,2551158.0,29007544.0,11661903.0,8.79
7132,2014,2.0,TX,Final,1327503.6,11797374.0,10082939.0,11.25,826625.87,10282524.0,1412814.0,8.04,507540.58,7987546.4,96201.0,6.35,775.04,15056.07,2.0,5.15,2662445.1,30082500.0,11591956.0,8.85
7183,2014,1.0,TX,Final,1523541.2,13580936.0,10096367.0,11.22,899515.32,11215845.0,1424044.0,8.02,505866.59,8680502.8,96733.0,5.83,725.25,14120.76,3.0,5.14,2929648.4,33491405.0,11617147.0,8.75
7234,2013,12.0,TX,Final,1341812.0,11901122.0,9987357.0,11.27,858702.77,10736864.0,1411829.0,8.0,479031.82,8269473.7,95097.0,5.79,31.14,585.77,3.0,5.32,2679577.7,30908046.0,11494286.0,8.67
7285,2013,11.0,TX,Final,990849.84,8493286.8,9933251.0,11.67,811350.84,10267968.0,1382313.0,7.9,468827.12,8311841.3,95914.0,5.64,82.49,1074.81,3.0,7.68,2271110.3,27074170.0,11411481.0,8.39
7336,2013,10.0,TX,Final,1276585.2,10925087.0,10030619.0,11.68,970305.05,12133629.0,1394572.0,8.0,510427.85,8890335.6,96305.0,5.74,686.17,6992.65,3.0,9.81,2758004.2,31956045.0,11521499.0,8.63
7387,2013,9.0,TX,Final,1681346.8,14795355.0,9991128.0,11.36,1035144.8,13206869.0,1366313.0,7.84,541360.63,8978142.5,98058.0,6.03,705.27,7143.84,3.0,9.87,3258557.5,36987510.0,11455502.0,8.81
7438,2013,8.0,TX,Final,1883662.7,16446018.0,10029833.0,11.45,1090870.8,13664829.0,1370434.0,7.98,565583.36,9210129.7,99185.0,6.14,700.38,7050.89,3.0,9.93,3540817.2,39328028.0,11499455.0,9.0
7489,2013,7.0,TX,Final,1788048.1,15670163.0,9993521.0,11.41,1087614.3,13491837.0,1362338.0,8.06,535689.37,8720983.8,99025.0,6.14,602.39,5741.19,3.0,10.49,3411954.2,37888726.0,11454887.0,9.01
7540,2013,6.0,TX,Final,1549161.4,13539863.0,9931425.0,11.44,998606.69,12347670.0,1361247.0,8.09,529112.37,8741453.9,98020.0,6.05,609.55,5809.47,3.0,10.49,3077490.0,34634796.0,11390695.0,8.89
7591,2013,5.0,TX,Final,1109801.1,9588199.6,9958681.0,11.57,899120.77,10975231.0,1358069.0,8.19,504563.97,8697983.1,96547.0,5.8,565.96,5382.55,3.0,10.51,2514051.9,29266797.0,11413300.0,8.59
7642,2013,4.0,TX,Final,979757.34,8572437.1,9948659.0,11.43,818067.09,10150988.0,1355232.0,8.06,477141.76,8441659.9,94842.0,5.65,596.9,5686.99,3.0,10.5,2275563.1,27170772.0,11398736.0,8.38
7693,2013,3.0,TX,Final,1000992.7,9077840.7,9886760.0,11.03,782498.92,9701540.2,1346084.0,8.07,442437.73,8011791.0,92767.0,5.52,496.88,4712.87,3.0,10.54,2226426.3,26795885.0,11325614.0,8.31
7744,2013,2.0,TX,Final,1015177.1,9185497.9,9851200.0,11.05,763381.0,9505312.0,1344641.0,8.03,420743.04,7532186.2,92997.0,5.59,557.0,5299.82,3.0,10.51,2199858.1,26228296.0,11288841.0,8.39
7795,2013,1.0,TX,Final,1308941.9,12077737.0,9909050.0,10.84,829200.74,10333299.0,1348748.0,8.02,445213.59,8161862.5,91770.0,5.45,556.07,5286.15,3.0,10.52,2583912.3,30578184.0,11349571.0,8.45
7846,2012,12.0,TX,Final,1052995.0,9581718.0,9843432.0,10.99,793218.0,9947344.0,1354843.0,7.97,412146.0,7432945.0,92684.0,5.54,547.0,5189.0,1.0,10.54,2258906.0,26967196.0,11290960.0,8.38
7897,2012,11.0,TX,Final,946836.0,8519968.0,9825610.0,11.11,819600.0,10293160.0,1350942.0,7.96,415275.0,7565394.0,92718.0,5.49,662.0,6302.0,1.0,10.5,2182372.0,26384824.0,11269271.0,8.27
7948,2012,10.0,TX,Final,1139951.0,10215875.0,9870427.0,11.16,921150.0,11434026.0,1360947.0,8.06,443554.0,8049572.0,93122.0,5.51,604.0,5745.0,1.0,10.51,2505260.0,29705218.0,11324497.0,8.43
7999,2012,9.0,TX,Final,1557017.0,14009275.0,9790348.0,11.11,1023158.0,12571737.0,1357575.0,8.14,458154.0,8018803.0,93814.0,5.71,660.0,6279.0,1.0,10.51,3038989.0,34606094.0,11241738.0,8.78
8050,2012,8.0,TX,Final,1855231.0,16932276.0,9890825.0,10.96,1111677.0,13644552.0,1354598.0,8.15,510045.0,8643338.0,86746.0,5.9,662.0,6288.0,1.0,10.53,3477615.0,39226454.0,11332170.0,8.87
8101,2012,7.0,TX,Final,1744311.0,16050086.0,9867734.0,10.87,1060556.0,13131072.0,1350101.0,8.08,488242.0,8320952.0,97870.0,5.87,663.0,6281.0,1.0,10.56,3293773.0,37508391.0,11315706.0,8.78
8152,2012,6.0,TX,Final,1534422.0,13993383.0,9838845.0,10.97,982432.0,12050558.0,1345787.0,8.15,450467.0,8037946.0,95578.0,5.6,666.0,6308.0,1.0,10.56,2967988.0,34088196.0,11280211.0,8.71
8203,2012,5.0,TX,Final,1173801.0,10826491.0,9817846.0,10.84,902464.0,11161925.0,1366799.0,8.09,432878.0,8060820.0,95109.0,5.37,585.0,5493.0,1.0,10.65,2509728.0,30054728.0,11279755.0,8.35
8254,2012,4.0,TX,Final,955428.0,8666929.0,9767384.0,11.02,816548.0,9982141.0,1357412.0,8.18,402121.0,7684047.0,93737.0,5.23,617.0,5807.0,1.0,10.63,2174713.0,26338924.0,11218534.0,8.26
8305,2012,3.0,TX,Final,944775.0,8584699.0,9744217.0,11.01,802992.0,9706687.0,1355978.0,8.27,425306.0,7868186.0,91820.0,5.41,553.0,5192.0,1.0,10.65,2173627.0,26164763.0,11192016.0,8.31
8356,2012,2.0,TX,Final,1012580.0,9164531.0,9689796.0,11.05,794976.0,9340342.0,1353103.0,8.51,402685.0,7218483.0,81909.0,5.58,589.0,5531.0,9.0,10.65,2210830.0,25728887.0,11124817.0,8.59
8407,2012,1.0,TX,Final,1170362.0,10866402.0,9678756.0,10.77,828072.0,9841451.0,1353704.0,8.41,424966.0,7616837.0,93395.0,5.58,586.0,5766.0,9.0,10.16,2423987.0,28330456.0,11125864.0,8.56
8458,2011,12.0,TX,Final,1116001.0,10249018.0,9660630.0,10.89,806712.0,9506503.0,1366869.0,8.49,463323.0,7965841.0,95177.0,5.82,540.0,5299.0,2.0,10.19,2386576.0,27726661.0,11122678.0,8.61
8509,2011,11.0,TX,Final,906881.0,8100960.0,9635137.0,11.19,796123.0,9231488.0,1356985.0,8.62,485313.0,8164932.0,96706.0,5.94,664.0,6559.0,2.0,10.12,2188982.0,25503940.0,11088830.0,8.58
8560,2011,10.0,TX,Final,1156201.0,10291559.0,9673150.0,11.23,930046.0,10812291.0,1352616.0,8.6,515089.0,8645057.0,97930.0,5.96,603.0,5940.0,2.0,10.15,2601939.0,29754848.0,11123698.0,8.74
8611,2011,9.0,TX,Final,1684897.0,15104071.0,9683774.0,11.16,1139383.0,12619255.0,1375226.0,9.03,593372.0,8870960.0,99952.0,6.69,648.0,6403.0,2.0,10.12,3418300.0,36600689.0,11158954.0,9.34
8662,2011,8.0,TX,Final,2075532.0,18620657.0,9709848.0,11.15,1247485.0,13643813.0,1380195.0,9.14,683232.0,9396647.0,101604.0,7.27,614.0,6052.0,2.0,10.15,4006863.0,41667168.0,11191649.0,9.62
8713,2011,7.0,TX,Final,1929483.0,17285918.0,9632533.0,11.16,1098562.0,12431799.0,1366981.0,8.84,570192.0,8816931.0,101395.0,6.47,590.0,5815.0,2.0,10.15,3598827.0,38540463.0,11100911.0,9.34
8764,2011,6.0,TX,Final,1667165.0,14819563.0,9643741.0,11.25,1071105.0,11965151.0,1372302.0,8.95,575687.0,8939921.0,101583.0,6.44,562.0,5533.0,2.0,10.16,3314519.0,35730168.0,11117628.0,9.28
8815,2011,5.0,TX,Final,1151555.0,10221169.0,9611858.0,11.27,905289.0,10293115.0,1361201.0,8.8,519007.0,8654487.0,100856.0,6.0,515.0,5135.0,2.0,10.03,2576366.0,29173907.0,11073917.0,8.83
8866,2011,4.0,TX,Final,968083.0,8670985.0,9565314.0,11.16,842979.0,9707567.0,1358685.0,8.68,503371.0,8579332.0,99641.0,5.87,536.0,5361.0,2.0,10.0,2314969.0,26963245.0,11023642.0,8.59
8917,2011,3.0,TX,Final,959171.0,8617852.0,9587214.0,11.13,852552.0,9555390.0,1364018.0,8.92,504085.0,8287010.0,98874.0,6.08,475.0,4741.0,2.0,10.02,2316283.0,26464992.0,11050108.0,8.75
8968,2011,2.0,TX,Final,1233676.0,11584010.0,9517330.0,10.65,795508.0,8904180.0,1351236.0,8.93,469503.0,7451484.0,96861.0,6.3,596.0,5995.0,2.0,9.94,2499283.0,27945669.0,10965429.0,8.94
9019,2011,1.0,TX,Final,1293338.0,12088465.0,9537226.0,10.7,829650.0,9543138.0,1357187.0,8.69,485869.0,8356268.0,97795.0,5.81,546.0,5495.0,2.0,9.94,2609404.0,29993367.0,10992210.0,8.7
9070,2010,12.0,TX,Final,1115511.0,9920101.0,9538951.0,11.24,790801.0,8865581.0,1443083.0,8.92,496899.0,7864818.0,127840.0,6.32,555.0,5635.0,3.0,9.85,2403766.0,26656135.0,11109877.0,9.02
9121,2010,11.0,TX,Final,863223.0,7623617.0,9578689.0,11.32,781618.0,8930212.0,1453486.0,8.75,496188.0,8178689.0,126267.0,6.07,668.0,6809.0,3.0,9.81,2141698.0,24739327.0,11158445.0,8.66
9172,2010,10.0,TX,Final,1128507.0,9710773.0,9600717.0,11.62,937106.0,10338765.0,1456125.0,9.06,544771.0,8478743.0,127720.0,6.43,626.0,6368.0,3.0,9.83,2611010.0,28534649.0,11184565.0,9.15
9223,2010,9.0,TX,Final,1613656.0,13939145.0,9593771.0,11.58,1066057.0,11689057.0,1460035.0,9.12,558356.0,9020325.0,128903.0,6.19,671.0,6828.0,3.0,9.83,3238739.0,34655355.0,11182712.0,9.35
9274,2010,8.0,TX,Final,1937455.0,16560190.0,9601026.0,11.7,1150678.0,12576293.0,1462432.0,9.15,640070.0,9588951.0,129976.0,6.68,653.0,6642.0,3.0,9.83,3728856.0,38732076.0,11193437.0,9.63
9325,2010,7.0,TX,Final,1790215.0,15285607.0,9613587.0,11.71,1077497.0,11910085.0,1476856.0,9.05,600642.0,9185316.0,132934.0,6.54,639.0,6481.0,3.0,9.86,3468993.0,36387489.0,11223380.0,9.53
9376,2010,6.0,TX,Final,1611445.0,13596012.0,9560217.0,11.85,1031843.0,11208953.0,1467166.0,9.21,566482.0,8742282.0,131443.0,6.48,602.0,5996.0,3.0,10.04,3210372.0,33553242.0,11158829.0,9.57
9427,2010,5.0,TX,Final,1115313.0,9338767.0,9498989.0,11.94,887693.0,9598774.0,1452332.0,9.25,529487.0,8279605.0,127017.0,6.4,586.0,5815.0,3.0,10.08,2533080.0,27222961.0,11078341.0,9.3
9478,2010,4.0,TX,Final,939081.0,7745987.0,9495461.0,12.12,849268.0,9025931.0,1457781.0,9.41,503399.0,7763731.0,126661.0,6.48,589.0,6111.0,3.0,9.64,2292337.0,24541760.0,11079906.0,9.34
9529,2010,3.0,TX,Final,1099768.0,9557712.0,9491323.0,11.51,879323.0,9166117.0,1463638.0,9.59,521938.0,7951458.0,124858.0,6.56,592.0,6189.0,3.0,9.57,2501621.0,26681477.0,11079822.0,9.38
9580,2010,2.0,TX,Final,1208908.0,10656540.0,9442046.0,11.34,829689.0,8715714.0,1455194.0,9.52,476927.0,7139925.0,123697.0,6.68,531.0,5512.0,3.0,9.63,2516055.0,26517691.0,11020940.0,9.49
9631,2010,1.0,TX,Final,1482796.0,13226950.0,9426432.0,11.21,881782.0,9441809.0,1467775.0,9.34,484879.0,7560571.0,123914.0,6.41,599.0,6058.0,3.0,9.89,2850056.0,30235389.0,11018124.0,9.43
